City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
474,vanavara,RU,60.34,102.2797,37.98,99,100,6.53,light rain
475,urumqi,CN,43.801,87.6005,50.95,19,0,4.47,clear sky
476,finote selam,ET,10.7,37.2667,66.45,65,100,5.68,light rain
477,severiano melo,BR,-5.7772,-37.9578,93.85,40,81,8.16,broken clouds
478,sanawad,IN,22.1833,76.0667,94.23,14,0,6.46,clear sky
479,mizan teferi,ET,6.9833,35.5833,62.42,95,100,0.94,overcast clouds
480,hidalgo,MX,20.5,-99.0,79.32,31,11,0.78,few clouds
481,axim,GH,4.8699,-2.2405,79.0,84,100,6.69,moderate rain
482,safaga,EG,26.7292,33.9365,79.3,45,0,6.38,clear sky
483,forio,IT,40.7342,13.8646,73.69,72,77,6.55,broken clouds
484,florianopolis,BR,-27.6146,-48.5012,73.35,71,99,1.99,overcast clouds
485,rameswaram,IN,9.2833,79.3,86.0,76,31,24.38,scattered clouds
486,korla,CN,41.7597,86.1469,54.45,12,0,4.34,clear sky
487,fortuna,US,40.5982,-124.1573,45.93,94,100,8.05,overcast clouds
488,lyngseidet,NO,69.5763,20.2189,46.4,94,99,9.37,overcast clouds
489,oyon,PE,-10.6681,-76.7731,60.66,39,93,4.99,overcast clouds
490,cotonou,BJ,6.3654,2.4183,84.38,67,100,7.81,overcast clouds
491,namie,JP,37.4833,141.0,38.71,77,0,4.72,clear sky
492,pisco,PE,-13.7,-76.2167,69.03,81,94,6.13,overcast clouds
493,la vega,DO,19.2221,-70.5296,84.27,42,98,12.88,overcast clouds
494,kinsale,IE,51.7075,-8.5306,52.97,93,75,11.5,broken clouds
495,ginir,ET,7.1333,40.7,61.5,83,97,2.75,light rain
496,kalianget,ID,-7.05,113.9333,81.28,78,96,1.21,overcast clouds
497,anadyr,RU,64.75,177.4833,16.72,92,96,12.3,overcast clouds
498,hyeres,FR,43.1167,6.1167,81.25,31,0,5.75,clear sky
499,tyup,KG,42.7276,78.3648,50.16,47,9,3.78,clear sky
500,pangnirtung,CA,66.1451,-65.7125,7.9,85,7,3.31,clear sky
501,tuatapere,NZ,-46.1333,167.6833,42.91,86,85,2.17,overcast clouds
502,lakatoro,VU,-16.0999,167.4164,79.21,81,99,1.23,overcast clouds
503,tadine,NC,-21.55,167.8833,76.87,84,0,8.32,clear sky
504,port-gentil,GA,-0.7193,8.7815,84.16,79,40,6.91,thunderstorm
505,bageshwar,IN,29.85,79.7667,65.46,29,25,4.61,scattered clouds
506,furstenwalde,DE,52.3667,14.0667,55.13,43,14,9.98,few clouds
507,kirkwall,GB,58.9848,-2.9587,46.96,100,100,17.27,mist
508,wajima,JP,37.4,136.9,45.99,59,0,4.21,clear sky
509,oranjemund,NA,-28.55,16.4333,63.3,66,0,18.95,clear sky
510,nishihara,JP,26.1842,127.7558,65.48,63,40,12.66,scattered clouds
511,nanning,CN,22.8167,108.3167,59.25,82,99,5.23,overcast clouds
512,namatanai,PG,-3.6667,152.4333,79.09,83,98,3.98,light rain
513,rawah,IQ,34.4816,41.9093,73.42,17,0,7.74,clear sky
514,tamandare,BR,-8.7597,-35.1047,87.01,64,29,12.1,scattered clouds
515,balsta,SE,59.5671,17.5278,55.58,64,91,2.28,overcast clouds
516,odesskoye,RU,54.2111,72.9651,60.17,37,100,12.53,overcast clouds
517,alugan,PH,12.2188,125.4808,78.35,83,10,3.51,clear sky
518,cuamba,MZ,-14.8031,36.5372,72.91,84,39,2.86,scattered clouds
519,abnub,EG,27.2696,31.1511,93.69,9,0,7.14,clear sky
520,mount gambier,AU,-37.8333,140.7667,61.84,62,99,8.14,overcast clouds
521,tessalit,ML,20.1986,1.0114,86.32,10,65,16.69,broken clouds
522,san quintin,MX,30.4833,-115.95,62.6,73,99,14.99,overcast clouds
523,tsiroanomandidy,MG,-18.7667,46.0333,73.08,72,22,1.5,few clouds
524,biltine,TD,14.5333,20.9167,100.2,12,10,8.08,clear sky
525,oulu,FI,65.0124,25.4682,42.91,67,0,6.91,clear sky
526,cabinda,AO,-5.55,12.2,81.18,79,75,9.08,broken clouds
527,horsham,GB,51.064,-0.3272,69.57,46,0,6.91,clear sky
528,huejuquilla el alto,MX,22.6,-103.8667,74.84,16,83,3.67,broken clouds
529,komsomolskiy,UZ,40.4272,71.7189,72.32,30,34,2.3,scattered clouds
530,kieta,PG,-6.2167,155.6333,78.71,85,100,1.83,light rain
531,zheleznodorozhnyy,RU,55.7503,38.0042,37.81,81,100,14.72,overcast clouds
532,wum,CM,6.3833,10.0667,75.88,76,91,2.01,moderate rain
533,vikesa,NO,58.6376,6.0913,47.26,65,100,4.41,overcast clouds
534,puerto ayacucho,VE,5.6639,-67.6236,85.78,64,99,4.07,overcast clouds
535,mirnyy,RU,62.5353,113.9611,18.39,94,100,5.1,overcast clouds
536,yanam,IN,16.7333,82.2167,79.07,88,13,3.04,few clouds
537,natal,BR,-5.795,-35.2094,89.82,62,20,11.5,few clouds
538,tabou,CI,4.423,-7.3528,82.98,72,99,7.78,light rain
539,campina verde,BR,-19.5356,-49.4864,79.75,28,0,6.26,clear sky
540,colares,PT,38.7992,-9.4469,79.79,49,20,10.36,few clouds
541,hami,CN,42.8,93.45,54.01,19,0,6.49,clear sky
542,kalabo,ZM,-14.97,22.6814,68.88,91,100,2.44,overcast clouds
543,kedrovyy,RU,56.1667,91.8167,41.41,90,64,5.3,broken clouds
544,palamos,ES,41.8484,3.1291,77.99,40,1,6.87,clear sky
545,nemuro,JP,43.3236,145.575,32.47,76,5,9.1,clear sky
546,bonavista,CA,48.6499,-53.1147,38.16,90,95,15.26,overcast clouds
547,iringa,TZ,-7.7667,35.7,61.03,85,92,5.17,overcast clouds
548,iskateley,RU,67.6803,53.1512,12.96,97,85,5.12,overcast clouds
549,vernon,CA,50.2581,-119.2691,39.24,60,33,5.01,scattered clouds
550,muli,MV,2.9167,73.5667,84.65,72,30,7.65,scattered clouds
551,ukiah,US,39.1502,-123.2078,52.38,94,100,1.99,light rain
552,kimbe,PG,-5.5502,150.1429,76.37,93,99,2.55,light rain
553,adamovka,RU,51.5223,59.9396,46.96,69,28,7.61,scattered clouds
